Sample,Formation,Pathway
DMSA-DJ15-1CA1,Marine,Mixed
DMSA-DJ16-1CA1,Marine,Mixed
DMSA-DJ16-1CA1,Marine,Mixed
DMSA-DJ17-1CA1,Marine,Mixed
DMSA-DJ18-1CA1,Marine,Mixed
DMSA-DJ18-1CA2,Marine,Mixed
DMSA-DJ19-1CA1,Marine,Mixed
DMSA-DJ20-1CA1,Marine,Mixed
DMSA-DJ20-1CA2,Marine,Mixed
DMSA-DJ21-1CA1,Marine,Mixed
DMSA-DJ21-1CA2,Marine,Mixed
DMSA-DJ22-1CA1,Marine,Mixed
DMSA-DJ23-1CA1,Marine,Mixed
DMSA-DJ23-1CA2,Marine,Mixed
DMSA-DJ24-1CA1,Marine,Mixed
DMSA-DJ24-1CA2,Marine,Mixed
DMSA-DJ25-1CA1,Marine,Mixed
DMSA-DJ25-1CA2,Marine,Mixed
DMSA-DJ25-1CA3,Marine,Mixed
DMSA-DJ27-1CA1,Marine,Mixed
DMSA-DJ28-1CA1,Marine,Mixed
DMSA-DJ28-1CA2,Marine,Mixed
DMSA-DJ29-1CA1,Marine,Mixed
DMSA-DJ30-1CA1,Marine,Mixed
DMSA-DJ32-1CA1,Marine,Mixed
DMSA-DJ32-1CA2,Marine,Mixed
DMSA-DJ34-1CA1,Marine,Mixed
DMSA-DJ34-1CA2,Marine,Mixed
DMSA-DJ36-1CA1,Marine,Mixed
DMSA-DJ36-1CA2,Marine,Mixed
DMSA-DJ39-1CA1,Marine,Mixed
DMSA-DJ39-1CA2,Marine,Mixed
DMSA-DJ40-1CA1,Marine,Mixed
DMSA-DJ41-1CA1,Marine,Mixed
DMSA-DJ42-1CA2,Marine,Mixed
DMSA-DJ42-1CA1,Marine,Mixed
DMSA-DJ44-1CA1,Marine,Mixed
DMSA-DJ44-1CA2,Marine,Mixed
DMSA-DJ46-1CA1,Marine,Mixed
DMSA-DJ47-1CA1,Marine,Mixed
DMSA-DJ48-1CA1,Marine,Mixed
DMSA-DJ48-1CA2,Marine,Mixed
DMSA-DJ49-1CA1,Marine,Mixed
DMSA-DJ49-1CA2,Marine,Mixed
DMSA-DJ50-1CA1,Marine,Mixed
DMSA-DJ50-1CA2,Marine,Mixed
DMSA-DJ52-1CA1,Marine,Mixed
DMSA-DJ52-1CA2,Marine,Mixed
DMSA-DJA3-1CA1,Marine,Mixed
DMSA-DJA3-1CA2,Marine,Mixed
DMSA-DJ59-1CA1,Marine,Mixed
DMSA-DJ59-1CA2,Marine,Mixed
DMSA-DJ63-1CA1,Marine,Mixed
DMSA-DJ63-1CA2,Marine,Mixed
DMSA-DJ65-1CA1,Marine,Mixed
DMSA-DJ65-1CA2,Marine,Mixed
DMSA-DJ66-1CA1,Marine,Mixed
DMSA-DJ66-1CA2,Marine,Mixed
DMSA-DJ69-1CA1,Marine,Mixed
DMSA-DJ69-1CA2,Marine,Mixed
DMSA-DJ70-1CA1,Marine,Mixed
DMSA-DJ72-1CA1,Marine,Mixed
DMSA-DJ72-1CA2,Marine,Mixed
DMSA-DJ73-1CA1,Marine,Mixed
CPHigh,,
CPValleyTick,,
CPValleyThin,,
PD08SI,Marine,Hydrogenetic
RD27S7,Marine,Hydrogenetic
RD66S5,Marine,Hydrogenetic
PD,Marine,Hydrogenetic
RD67S3,Marine,Hydrogenetic
PDI8S6,Marine,Hydrogenetic
RC4S/,Marine,Hydrogenetic
RD27SI,Marine,Hydrogenetic
RD27S6,Marine,Hydrogenetic
RD27S5,Marine,Hydrogenetic
PD6S9,Marine,Hydrogenetic
PD6S5,Marine,Hydrogenetic
RD68S5,Marine,Hydrogenetic
PD6SI2,Marine,Hydrogenetic
PD6S6,Marine,Hydrogenetic
RD66S3,Marine,Hydrogenetic
RD24SI,Marine,Hydrogenetic
RD24S4,Marine,Hydrogenetic
RD23S3,Marine,Hydrogenetic
RD22S2,Marine,Hydrogenetic
RD62S2,Marine,Hydrogenetic
RD58S7,Marine,Hydrogenetic
RD60S4,Marine,Hydrogenetic
RD53S3,Marine,Hydrogenetic
RD60S50,Marine,Hydrogenetic
RD55-$2,Marine,Hydrogenetic
RD62-S1,Marine,Hydrogenetic
RD65-$2,Marine,Hydrogenetic
RD50-SI6,Marine,Hydrogenetic
RD52-$6,Marine,Hydrogenetic
RD47-$3,Marine,Hydrogenetic
RD60-S2,Marine,Hydrogenetic
Ave.,Marine,Hydrogenetic
"Ave.<2,000",Marine,Hydrogenetic
"Ave.>2,000",Marine,Hydrogenetic
RD30S15,Marine,Hydrogenetic
PDIOS3Lo,Marine,Hydrogenetic
DR2-9,Marine,Hydrogenetic
DR3-1,Marine,Hydrogenetic
DR04-14,Marine,Hydrogenetic
DR7-8,Marine,Hydrogenetic
DR9-10,Marine,Hydrogenetic
DR9-11,Marine,Hydrogenetic
DR10-7,Marine,Hydrogenetic
DR11-2,Marine,Hydrogenetic
DR14-1,Marine,Hydrogenetic
DR13-11,Marine,Hydrogenetic
DR13-12,Marine,Hydrogenetic
DR13-13,Marine,Hydrogenetic
DR15-14A,Marine,Hydrogenetic
DR15-15,Marine,Hydrogenetic
DR16-5,Marine,Hydrogenetic
DR16-13,Marine,Hydrogenetic
CISP,Marine,Hydrogenetic
Altlantic,Marine,Hydrogenetic
Pacific,Marine,Hydrogenetic
Indian,Marine,Hydrogenetic
DR 9-11-1,Marine,Hydrogenetic
DR 9-11-2,Marine,Hydrogenetic
DR 9-11-3,Marine,Hydrogenetic
DR 9-11-4,Marine,Hydrogenetic
DR 16-5-5,Marine,Hydrogenetic
DR 16-5-6,Marine,Hydrogenetic
DR 16-5-7,Marine,Hydrogenetic
DR 16-5-8,Marine,Hydrogenetic
DR 16-5-9,Marine,Hydrogenetic
DR 16-5-10,Marine,Hydrogenetic
DR 16-5-11,Marine,Hydrogenetic
DR 13-11-12,Marine,Hydrogenetic
DR 13-11-13,Marine,Hydrogenetic
DR 9-11-14,Marine,Hydrogenetic
DR 9-11-15,Marine,Hydrogenetic
PB-Surf,Marine,Hydrogenetic
PB-2,Marine,Hydrogenetic
PB-8.7,Marine,Hydrogenetic
PB-15.2,Marine,Hydrogenetic
PB-19,Marine,Hydrogenetic
PB-22.5,Marine,Hydrogenetic
2PB-3.5,Marine,Hydrogenetic
PB-27.5,Marine,Hydrogenetic
PB-92.5,Marine,Hydrogenetic
PB-SiOoze,Marine,Hydrogenetic
10417-T-7,Carbonates,Carbonates
104-17-T-3,Carbonates,Carbonates
104-17-T-5-1a,Carbonates,Carbonates
10373-A-15,Carbonates,Carbonates
10373-A-19-1,Carbonates,Carbonates
10373-A-24,Carbonates,Carbonates
10554-D-9,Carbonates,Carbonates
10554-D-12,Carbonates,Carbonates
10554-D-15,Carbonates,Carbonates
Mean value,Carbonates,Carbonates
CCZMean,Carbonates,
EasternCCZMean,Carbonates,
CentralCCZMean,Carbonates,
PeruBasinMean,Carbonates,
IndianOceanMean,Carbonates,
CookIslandsMean,Carbonates,
GulfCadizMean,Carbonates,
BalticSeaMean,Carbonates,
FijiBasinMean,Carbonates,
TM-1,Carbonates,
TM-2,Carbonates,
TM-3,,
TM-4,,
TM-5,,
TM-6,,
TM-7,,
TM-8,,
TM-9,,
TM-10,,
TM-11,,
TM-12,,
RCD-1-18,Freshwater,Freshwater
RCD-2-23,Freshwater,Freshwater
RCD-3-14,Freshwater,Freshwater
RCD-4-32,Freshwater,Freshwater
RCD-5-23,Freshwater,Freshwater
RCD-6-25,Freshwater,Freshwater
RCD-7-36,Freshwater,Freshwater
RCD-8-90,Freshwater,Freshwater
RCD-9-35,Freshwater,Freshwater
RCD-10-30,Freshwater,Freshwater
RCD-11-47,Freshwater,Freshwater
RCD-12-10,Freshwater,Freshwater
RCD-13-36,Freshwater,Freshwater
HM-1,Carbonates,Carbonates
HM-2,Carbonates,Carbonates
HM-3,Carbonates,Carbonates
HM-4,Carbonates,Carbonates
HM-5,Carbonates,Carbonates
HM-6,Carbonates,Carbonates
