Number,Sample,Formation,Pathway
595,16_11,Marine,Hydrogenetic
596,16_3,Marine,Hydrogenetic
597,27R,Marine,Hydrogenetic
598,27_11,Marine,Hydrogenetic
599,27_3,Marine,Hydrogenetic
600,50_1,Marine,Hydrogenetic
601,50_2,Marine,Hydrogenetic
602,50_3,Marine,Hydrogenetic
603,50_4,Marine,Hydrogenetic
604,66_1,Marine,Hydrogenetic
605,66_2,Marine,Hydrogenetic
606,66_3,Marine,Hydrogenetic
607,66_5,Marine,Hydrogenetic
608,66_6,Marine,Hydrogenetic
609,66_7,Marine,Hydrogenetic
610,B18_11,Marine,Hydrogenetic
611,B18_11,Marine,Hydrogenetic
612,B18_3,Marine,Hydrogenetic
613,39_1b,Marine,Hydrogenetic
614,39_2,Marine,Hydrogenetic
615,5186E,Marine,Diagenetic
616,5186C,Marine,Diagenetic
617,5200T,Marine,Diagenetic
618,5201E,Marine,Diagenetic
619,5201P,Marine,Diagenetic
620,5193E,Marine,Diagenetic
621,1352E,Marine,Diagenetic
622,1352C,Marine,Diagenetic
623,DMSA-DJ1-1CA1,Marine,Mixed
624,DMSA-DJ2-1CA1,Marine,Mixed
625,DMSA-DJ3-1CA1,Marine,Mixed
626,DMSA-DJ4-1CA1,Marine,Mixed
627,DMSA-DJ6-1CA1,Marine,Mixed
628,DMSA-DJ7-1CA1,Marine,Mixed
629,DMSA-DJ8-1CA1,Marine,Mixed
630,DMSA-DJ9-1CA1,Marine,Mixed
631,DMSA-DJ10-1CA1,Marine,Mixed
632,DMSA-DJ11-1CA1,Marine,Mixed
633,DMSA-DJ13-1CA1,Marine,Mixed
634,DMSA-DJ14-1CA1,Marine,Mixed
635,DMSA-DJ15-1CA1,Marine,Mixed
636,DMSA-DJ16-1CA1,Marine,Mixed
637,DMSA-DJ16-1CA1,Marine,Mixed
638,DMSA-DJ17-1CA1,Marine,Mixed
639,DMSA-DJ18-1CA1,Marine,Mixed
640,DMSA-DJ18-1CA2,Marine,Mixed
641,DMSA-DJ19-1CA1,Marine,Mixed
642,DMSA-DJ20-1CA1,Marine,Mixed
643,DMSA-DJ20-1CA2,Marine,Mixed
644,DMSA-DJ21-1CA1,Marine,Mixed
645,DMSA-DJ21-1CA2,Marine,Mixed
646,DMSA-DJ22-1CA1,Marine,Mixed
647,DMSA-DJ23-1CA1,Marine,Mixed
648,DMSA-DJ23-1CA2,Marine,Mixed
649,DMSA-DJ24-1CA1,Marine,Mixed
650,DMSA-DJ24-1CA2,Marine,Mixed
651,DMSA-DJ25-1CA1,Marine,Mixed
652,DMSA-DJ25-1CA2,Marine,Mixed
653,DMSA-DJ25-1CA3,Marine,Mixed
654,DMSA-DJ27-1CA1,Marine,Mixed
655,DMSA-DJ28-1CA1,Marine,Mixed
656,DMSA-DJ28-1CA2,Marine,Mixed
657,DMSA-DJ29-1CA1,Marine,Mixed
658,DMSA-DJ30-1CA1,Marine,Mixed
659,DMSA-DJ32-1CA1,Marine,Mixed
660,DMSA-DJ32-1CA2,Marine,Mixed
661,DMSA-DJ34-1CA1,Marine,Mixed
662,DMSA-DJ34-1CA2,Marine,Mixed
663,DMSA-DJ36-1CA1,Marine,Mixed
664,DMSA-DJ36-1CA2,Marine,Mixed
665,DMSA-DJ39-1CA1,Marine,Mixed
666,DMSA-DJ39-1CA2,Marine,Mixed
667,DMSA-DJ40-1CA1,Marine,Mixed
668,DMSA-DJ41-1CA1,Marine,Mixed
669,DMSA-DJ42-1CA2,Marine,Mixed
670,DMSA-DJ42-1CA1,Marine,Mixed
671,DMSA-DJ44-1CA1,Marine,Mixed
672,DMSA-DJ44-1CA2,Marine,Mixed
673,DMSA-DJ46-1CA1,Marine,Mixed
674,DMSA-DJ47-1CA1,Marine,Mixed
675,DMSA-DJ48-1CA1,Marine,Mixed
676,DMSA-DJ48-1CA2,Marine,Mixed
677,DMSA-DJ49-1CA1,Marine,Mixed
678,DMSA-DJ49-1CA2,Marine,Mixed
679,DMSA-DJ50-1CA1,Marine,Mixed
680,DMSA-DJ50-1CA2,Marine,Mixed
681,DMSA-DJ52-1CA1,Marine,Mixed
682,DMSA-DJ52-1CA2,Marine,Mixed
